Company,Model,Type,Smartphone,Year,Units_Sold,Units_Sold_int
Nokia,1100,Bar,No,2003,250,250000000
Nokia,1110,Bar,No,2005,247.5,247500000
Apple,iPhone 6 and iPhone 6 Plus,Touchscreen,Yes,2014,222.4,222400000
Nokia,105 series,Bar,No,2013,200,200000000
Apple,iPhone 6S and iPhone 6S Plus,Touchscreen,Yes,2015,174.1,174100000
Apple,iPhone 5S,Touchscreen,Yes,2013,164.5,164500000
Nokia,3210,Bar,No,1999,161,161000000
Apple,iPhone 7 and iPhone 7 Plus,Touchscreen,Yes,2016,159.9,159900000
Apple,"iPhone 11, iPhone 11 Pro and iPhone 11 Pro Max",Touchscreen,Yes,2019,159.2,159200000
Apple,"iPhone XR, iPhone XS and iPhone XS Max",Touchscreen,Yes,2018,151.1,151100000
Nokia,6600,Bar,Yes,2003,150,150000000
Nokia,1200,Bar,No,2007,150,150000000
Nokia,5230,Touchscreen,Yes,2009,150,150000000
Samsung,E1100,Bar,No,2009,150,150000000
Apple,iPhone 5,Touchscreen,Yes,2012,146.2,146200000
Nokia,2600 (2610/2626/2630),Bar,No,2004,135,135000000
Motorola,RAZR V3,Flip phone,No,2004,130,130000000
Nokia,1600 (1650/1661),Bar,No,2005,130,130000000
Nokia,3310 (3330),Bar,No,2000,126,126000000
Apple,iPhone 8 and iPhone 8 Plus,Touchscreen,Yes,2017,124.7,124700000
Apple,"Apple iPhone 12, iPhone 12 mini, iPhone 12 Pro and iPhone 12 Pro Max",Touchscreen,Yes,2020,100,100000000
Nokia,1208 (1209),Bar,No,2007,100,100000000
Nokia,1280,Bar,No,2010,100,100000000
Nokia,6010 (6020/6030),Bar,No,2004,75,75000000
Samsung,Galaxy S III and Galaxy S III Mini,Touchscreen,Yes,2012,70,70000000
Samsung,Galaxy S4,Touchscreen,Yes,2013,70,70000000
Nokia,5130 (5220/5310),Bar,No,2007,65,65000000
Apple,iPhone X,Touchscreen,Yes,2017,63,63000000
Apple,iPhone 4S,Touchscreen,Yes,2011,60,60000000
Motorola,StarTAC,Flip phone,No,1996,60,60000000
Motorola,C200,Bar,No,2003,60,60000000
Motorola,C139,Bar,No,2005,60,60000000
Samsung,Galaxy S7 and Galaxy S7 edge,Touchscreen,Yes,2016,55,55000000
Nokia,3100 (3120),Bar,No,2003,50,50000000
Nokia,6300,Bar,No,2006,50,50000000
Apple,iPhone 4,Touchscreen,Yes,2010,50,50000000
Nokia,6230 (6233),Bar,No,2004,47,47000000
Samsung,Galaxy S6 and Galaxy S6 edge,Touchscreen,Yes,2015,45,45000000
Nokia,N70 (N72/N73),Bar,Yes,2005,45,45000000
Samsung,Galaxy S8 and Galaxy S8+,Touchscreen,Yes,2017,41,41000000
Samsung,Galaxy S II,Touchscreen,Yes,2011,40,40000000
Samsung,"Galaxy S10, Galaxy S10+ and Galaxy S10e",Touchscreen,Yes,2019,37,37000000
Samsung,Galaxy S9 and Galaxy S9+,Touchscreen,Yes,2018,35.4,35400000
Nokia,2650,Flip phone,No,2004,35,35000000
